frame,ID,x,y
200,2,195,127
201,2,203,127
202,2,208,125
203,2,211,125
205,2,211,123
206,2,211,124
207,2,209,124
208,2,206,127
209,2,201,140
210,2,188,153
229,2,187,187
230,2,187,187
231,2,188,186
232,2,188,186
233,2,188,186
234,2,188,186
235,2,188,186
236,2,188,186
237,2,188,186
238,2,188,186
239,2,188,186
240,2,187,186
245,2,188,186
247,2,188,186
250,2,187,186
251,2,187,186
252,2,187,186
253,2,187,186
254,2,187,186
255,2,187,186
256,2,187,186
257,2,187,186
258,2,187,186
259,2,187,186
260,2,187,186
261,2,187,186
262,2,187,186
263,2,187,186
264,2,187,186
265,2,187,186
266,2,187,186
267,2,187,186
268,2,187,186
269,2,187,186
270,2,187,186
271,2,187,185
272,2,187,186
273,2,187,186
274,2,187,186
275,2,187,186
276,2,187,186
277,2,187,186
278,2,187,186
279,2,187,186
280,2,187,186
281,2,187,186
282,2,187,186
283,2,187,186
284,2,187,186
285,2,187,186
286,2,187,186
287,2,187,186
288,2,187,186
289,2,187,186
290,2,187,186
291,2,187,186
292,2,187,186
302,2,187,185
303,2,187,186
304,2,187,186
305,2,187,186
306,2,187,186
307,2,187,186
308,2,187,185
309,2,187,185
311,2,187,186
312,2,187,186
313,2,187,186
314,2,187,186
315,2,187,186
320,2,187,186
326,2,188,185
327,2,187,185
328,2,187,185
329,2,187,185
330,2,187,185
332,2,186,184
333,2,186,183
334,2,187,180
335,2,187,179
336,2,188,177
337,2,188,176
338,2,189,176
349,2,189,178
350,2,189,178
351,2,189,178
352,2,189,177
358,2,190,176
359,2,190,177
360,2,190,177
361,2,189,177
362,2,189,178
363,2,189,178
364,2,189,178
365,2,189,178
366,2,189,178
367,2,189,178
368,2,189,179
369,2,189,178
370,2,189,178
371,2,190,178
372,2,190,178
373,2,190,178
374,2,189,178
375,2,189,178
376,2,189,178
377,2,189,178
378,2,189,178
378,4,526,89
379,2,189,177
379,4,520,90
380,2,189,178
380,4,522,91
381,2,190,178
381,4,526,92
382,2,189,178
382,4,531,92
383,2,189,177
383,4,534,109
384,2,189,177
384,4,536,124
385,2,189,177
385,4,536,136
386,2,189,177
386,4,537,145
387,2,188,177
388,2,188,177
389,2,188,177
390,2,189,177
391,2,189,177
392,2,190,177
401,2,195,169
402,2,193,171
403,2,191,173
428,5,520,633
429,5,522,623
430,5,520,608
431,5,524,599
432,5,531,589
433,5,537,564
435,5,562,522
451,2,182,188
452,2,182,188
453,2,183,187
454,2,183,187
455,2,182,187
456,2,183,187
457,2,182,188
458,2,182,188
459,2,183,187
459,6,458,82
460,2,184,187
460,6,450,84
461,2,186,188
461,6,453,82
462,2,186,189
462,6,459,80
463,2,187,190
463,6,468,80
464,2,186,190
464,6,485,81
465,2,184,188
465,6,493,92
466,2,184,188
466,6,499,105
467,2,184,188
467,6,506,117
468,2,185,187
468,6,513,124
469,2,187,188
469,6,518,130
470,2,188,188
470,6,525,153
471,2,189,188
471,6,530,173
472,2,188,188
472,6,538,188
473,2,187,189
473,6,545,202
474,2,186,189
475,2,185,189
476,2,185,189
477,2,185,189
478,2,185,190
479,2,185,190
480,2,185,190
481,2,185,190
482,2,186,190
483,2,186,190
484,2,186,190
485,2,186,190
486,2,186,190
487,2,186,190
488,2,185,190
489,2,185,190
490,2,185,190
491,2,185,190
492,2,185,190
493,2,186,190
494,2,185,190
495,2,185,190
496,2,185,190
497,2,185,190
498,2,186,190
499,2,186,190
500,2,186,190
501,2,186,190
502,2,186,190
503,2,186,190
504,2,186,190
505,2,185,190
505,7,514,631
506,2,185,190
506,7,515,629
507,2,185,190
507,7,517,613
508,2,185,190
508,7,528,587
509,2,185,190
509,7,536,573
510,2,185,190
510,7,544,560
511,2,185,190
512,2,185,190
513,2,185,190
514,2,185,190
515,2,184,190
516,2,184,190
517,2,183,190
518,2,183,190
519,2,183,190
520,2,183,190
521,2,183,190
522,2,183,190
523,2,183,190
524,2,184,190
525,2,184,190
526,2,184,190
527,2,184,190
528,2,184,190
529,2,184,190
530,2,184,190
531,2,184,190
532,2,184,190
533,2,184,190
534,2,185,190
535,2,185,190
536,2,185,190
537,2,185,189
538,2,185,189
539,2,185,190
540,2,185,189
541,2,185,189
542,2,185,189
543,2,185,189
544,2,184,189
544,8,668,96
545,2,185,189
545,8,663,97
546,2,185,187
547,2,186,183
549,8,618,96
551,8,599,98
552,8,583,105
553,8,571,114
554,8,564,118
555,2,189,179
555,8,556,122
556,2,188,183
556,8,547,140
557,2,186,185
557,8,543,156
558,2,184,187
558,8,538,168
559,2,183,188
559,8,537,186
560,2,183,188
561,2,185,187
562,2,188,186
563,2,189,186
564,2,190,186
565,2,188,186
566,2,187,186
567,2,187,187
568,2,186,187
569,2,187,187
570,2,187,186
571,2,188,187
572,2,189,187
573,2,190,186
574,2,190,186
575,2,190,186
576,2,190,186
577,2,188,186
578,2,188,186
579,2,187,186
580,2,187,186
581,2,188,186
582,2,189,186
583,2,189,187
584,2,189,187
585,2,188,187
586,2,188,186
587,2,188,186
588,2,189,186
589,2,188,186
590,2,188,186
591,2,187,186
592,2,188,186
593,2,187,187
594,2,189,187
595,2,189,187
596,2,188,186
597,2,188,186
598,2,188,186
599,2,188,186
600,2,189,186
601,2,190,186
602,2,191,186
603,2,191,186
604,2,192,187
605,2,192,186
606,2,192,186
607,2,192,186
608,2,192,186
609,2,192,186
610,2,192,186
611,2,192,186
612,2,192,186
613,2,192,186
614,2,192,186
615,2,192,186
616,2,192,186
617,2,191,187
618,2,191,186
619,2,190,186
620,2,189,186
621,2,189,186
622,2,188,186
623,2,189,186
624,2,189,186
625,2,189,186
626,2,190,186
627,2,190,186
628,2,190,186
629,2,191,186
630,2,191,186
631,2,191,186
632,2,191,186
633,2,191,186
634,2,191,186
635,2,190,186
636,2,190,187
637,2,189,187
638,2,187,187
639,2,185,187
640,2,185,187
641,2,185,187
642,2,185,187
643,2,186,187
644,2,186,187
645,2,186,187
646,2,185,187
647,2,185,187
648,2,185,187
649,2,185,187
650,2,185,187
651,2,184,187
652,2,184,187
653,2,184,187
654,2,184,187
655,2,185,187
656,2,186,187
657,2,186,187
658,2,186,187
659,2,186,187
660,2,187,187
661,2,187,187
662,2,188,187
663,2,189,187
664,2,190,187
665,2,190,187
666,2,190,187
667,2,190,187
668,2,189,187
669,2,189,187
670,2,188,187
671,2,188,187
672,2,188,187
673,2,188,187
674,2,189,187
675,2,188,187
676,2,189,187
677,2,191,187
678,2,194,187
679,2,196,186
680,2,196,186
681,2,197,185
682,2,195,185
683,2,195,184
684,2,195,185
685,2,195,187
686,2,195,188
687,2,194,188
688,2,194,188
689,2,194,187
690,2,195,187
691,2,195,187
692,2,195,187
693,2,195,187
694,2,195,187
695,2,195,187
696,2,195,187
697,2,194,187
698,2,194,187
699,2,195,187
700,2,194,187
701,2,194,187
702,2,193,187
703,2,192,187
704,2,192,187
705,2,191,186
706,2,190,186
707,2,189,186
708,2,187,186
709,2,187,186
710,2,189,186
711,2,190,186
712,2,188,186
713,2,188,186
714,2,187,186
715,2,189,186
716,2,191,186
717,2,192,186
718,2,192,186
719,2,192,186
720,2,193,186
721,2,193,186
722,2,193,186
723,2,193,187
724,2,193,187
725,2,192,187
726,2,192,188
727,2,191,188
728,2,191,188
729,2,191,188
730,2,191,188
731,2,191,188
732,2,191,188
733,2,191,188
734,2,192,188
735,2,192,188
736,2,193,188
737,2,192,188
738,2,194,188
739,2,194,188
740,2,195,188
741,2,196,188
742,2,197,188
743,2,197,188
744,2,195,188
745,2,193,187
746,2,191,187
808,9,504,648
809,9,508,647
810,9,509,646
811,9,511,637
812,9,510,625
813,9,511,619
814,9,511,613
815,9,515,597
816,9,524,571
817,9,533,554
818,9,542,538
819,9,549,506
844,10,689,103
845,10,686,105
846,10,678,103
847,10,674,99
848,10,671,98
849,10,652,105
850,10,642,107
851,10,631,109
852,10,626,109
853,10,601,110
854,10,589,115
855,10,576,115
856,10,568,113
857,10,561,131
858,10,553,157
859,10,548,169
860,10,546,175
861,10,544,202
862,10,543,221
863,10,543,238
864,10,543,259
891,11,492,650
892,11,498,648
893,11,503,647
894,11,508,640
895,11,510,631
896,11,511,623
897,11,513,619
898,11,514,616
899,11,516,600
900,11,518,582
901,11,523,562
902,11,525,551
903,11,527,533
904,11,531,508
905,11,532,486
926,12,433,81
927,12,433,82
928,12,439,81
929,12,451,80
930,12,472,81
931,12,487,82
932,12,495,92
933,12,499,104
934,12,503,111
935,12,512,116
936,12,515,120
937,12,519,140
938,12,527,159
939,12,536,176
940,12,545,195
941,12,550,227
942,12,553,251
943,12,555,273
969,13,502,654
970,13,502,642
971,13,503,638
972,13,500,636
973,13,501,631
974,13,505,620
975,13,506,609
976,13,507,602
977,13,512,595
978,13,520,576
979,13,524,557
980,13,530,540
981,13,539,526
982,13,548,504
983,13,555,478
1010,15,521,70
1011,15,524,71
1012,15,527,77
1013,15,530,81
1014,15,532,82
1015,15,537,82
1016,15,539,82
1017,15,540,82
1018,15,541,93
1019,15,542,102
1020,15,540,110
1021,15,539,116
1022,15,538,130
1023,15,538,146
1024,15,541,167
1025,15,546,180
1026,15,549,191
1027,15,552,221
1028,15,556,244
1029,15,556,265
1058,16,512,653
1059,16,513,640
1060,16,511,633
1061,16,510,632
1062,16,508,629
1063,16,509,611
1064,16,512,597
1065,16,521,587
1066,16,526,580
1067,16,530,554
1068,16,536,527
1069,16,544,506
1070,16,549,492
1092,17,183,191
1094,17,188,192
1104,18,673,102
1105,18,672,105
1106,18,666,103
1107,18,650,110
1108,18,639,113
1109,18,640,113
1110,18,636,112
1111,18,622,115
1112,18,598,121
1113,18,588,126
1114,18,581,131
1115,18,570,139
1116,18,559,157
1117,18,552,167
1118,18,547,175
1119,18,546,196
1120,18,547,219
1121,18,548,236
1122,18,554,252
1154,19,515,645
1155,19,513,639
1156,19,510,635
1157,19,509,634
1158,19,508,633
1159,19,509,619
1160,19,510,609
1161,19,516,601
1162,19,525,594
1163,19,530,579
1164,19,533,554
1165,19,536,535
1166,19,539,518
1167,19,547,499
1168,19,552,471
1196,20,524,82
1197,20,528,82
1198,20,535,82
1199,20,539,83
1200,20,540,83
1201,20,540,99
1202,20,539,111
1203,20,537,119
1204,20,535,126
1205,20,546,144
1206,20,544,173
1207,20,543,190
1208,20,547,206
1209,20,550,228
1210,20,552,256
1211,20,553,275
1238,22,509,643
1239,22,511,642
1240,22,511,634
